DATE,HSN1F
1988/6/1,717
1988/7/1,679
1988/8/1,688
1988/9/1,703
1988/10/1,718
1988/11/1,628
1988/12/1,658
1989/1/1,719
1989/2/1,622
1989/3/1,567
1989/4/1,608
1989/5/1,656
1989/6/1,642
1989/7/1,731
1989/8/1,697
1989/9/1,639
1989/10/1,645
1989/11/1,684
1989/12/1,630
1990/1/1,620
1990/2/1,591
1990/3/1,574
1990/4/1,542
1990/5/1,534
1990/6/1,545
1990/7/1,542
1990/8/1,528
1990/9/1,496
1990/10/1,465
1990/11/1,493
1990/12/1,464
1991/1/1,401
1991/2/1,482
1991/3/1,507
1991/4/1,508
1991/5/1,517
1991/6/1,516
1991/7/1,511
1991/8/1,526
1991/9/1,487
1991/10/1,524
1991/11/1,575
1991/12/1,558
1992/1/1,676
1992/2/1,639
1992/3/1,553
1992/4/1,546
1992/5/1,554
1992/6/1,596
1992/7/1,627
1992/8/1,636
1992/9/1,650
1992/10/1,621
1992/11/1,614
1992/12/1,650
1993/1/1,596
1993/2/1,604
1993/3/1,602
1993/4/1,701
1993/5/1,626
1993/6/1,653
1993/7/1,655
1993/8/1,645
1993/9/1,726
1993/10/1,704
1993/11/1,769
1993/12/1,812
1994/1/1,619
1994/2/1,686
1994/3/1,747
1994/4/1,692
1994/5/1,691
1994/6/1,621
1994/7/1,628
1994/8/1,656
1994/9/1,677
1994/10/1,715
1994/11/1,646
1994/12/1,629
1995/1/1,626
1995/2/1,559
1995/3/1,616
1995/4/1,621
1995/5/1,674
1995/6/1,725
1995/7/1,765
1995/8/1,701
1995/9/1,678
1995/10/1,696
1995/11/1,664
1995/12/1,709
1996/1/1,714
1996/2/1,769
1996/3/1,721
1996/4/1,736
1996/5/1,746
1996/6/1,721
1996/7/1,770
1996/8/1,826
1996/9/1,770
1996/10/1,720
1996/11/1,771
1996/12/1,805
1997/1/1,830
1997/2/1,801
1997/3/1,831
1997/4/1,744
1997/5/1,760
1997/6/1,793
1997/7/1,805
1997/8/1,815
1997/9/1,840
1997/10/1,800
1997/11/1,864
1997/12/1,793
1998/1/1,872
1998/2/1,866
1998/3/1,836
1998/4/1,866
1998/5/1,887
1998/6/1,923
1998/7/1,876
1998/8/1,846
1998/9/1,864
1998/10/1,893
1998/11/1,995
1998/12/1,949
1999/1/1,875
1999/2/1,848
1999/3/1,863
1999/4/1,918
1999/5/1,888
1999/6/1,923
1999/7/1,900
1999/8/1,893
1999/9/1,826
1999/10/1,872
1999/11/1,863
1999/12/1,873
2000/1/1,873
2000/2/1,856
2000/3/1,900
2000/4/1,841
2000/5/1,857
2000/6/1,793
2000/7/1,887
2000/8/1,848
2000/9/1,912
2000/10/1,933
2000/11/1,880
2000/12/1,983
2001/1/1,936
2001/2/1,963
2001/3/1,939
2001/4/1,909
2001/5/1,885
2001/6/1,882
2001/7/1,880
2001/8/1,866
2001/9/1,853
2001/10/1,871
2001/11/1,924
2001/12/1,979
2002/1/1,880
2002/2/1,948
2002/3/1,923
2002/4/1,936
2002/5/1,978
2002/6/1,957
2002/7/1,956
2002/8/1,1014
2002/9/1,1044
2002/10/1,1006
2002/11/1,1024
2002/12/1,1048
2003/1/1,999
2003/2/1,936
2003/3/1,999
2003/4/1,1012
2003/5/1,1078
2003/6/1,1193
2003/7/1,1168
2003/8/1,1206
2003/9/1,1131
2003/10/1,1144
2003/11/1,1093
2003/12/1,1129
2004/1/1,1165
2004/2/1,1159
2004/3/1,1276
2004/4/1,1186
2004/5/1,1241
2004/6/1,1180
2004/7/1,1088
2004/8/1,1175
2004/9/1,1214
2004/10/1,1305
2004/11/1,1179
2004/12/1,1242
2005/1/1,1203
2005/2/1,1319
2005/3/1,1328
2005/4/1,1260
2005/5/1,1286
2005/6/1,1274
2005/7/1,1389
2005/8/1,1255
2005/9/1,1244
2005/10/1,1336
2005/11/1,1214
2005/12/1,1239
2006/1/1,1174
2006/2/1,1061
2006/3/1,1116
2006/4/1,1123
2006/5/1,1086
2006/6/1,1074
2006/7/1,965
2006/8/1,1035
2006/9/1,1016
2006/10/1,941
2006/11/1,1003
2006/12/1,998
2007/1/1,891
2007/2/1,828
2007/3/1,833
2007/4/1,887
2007/5/1,842
2007/6/1,793
2007/7/1,778
2007/8/1,699
2007/9/1,686
2007/10/1,727
2007/11/1,641
2007/12/1,619
2008/1/1,627
2008/2/1,593
2008/3/1,535
2008/4/1,536
2008/5/1,504
2008/6/1,487
2008/7/1,477
2008/8/1,435
2008/9/1,433
2008/10/1,393
2008/11/1,389
2008/12/1,377
2009/1/1,336
2009/2/1,372
2009/3/1,339
2009/4/1,337
2009/5/1,376
2009/6/1,393
2009/7/1,411
2009/8/1,418
2009/9/1,386
2009/10/1,396
2009/11/1,375
2009/12/1,352
2010/1/1,345
2010/2/1,336
2010/3/1,381
2010/4/1,422
2010/5/1,280
2010/6/1,305
2010/7/1,283
2010/8/1,282
2010/9/1,317
2010/10/1,291
2010/11/1,287
2010/12/1,326
2011/1/1,307
2011/2/1,270
2011/3/1,300
2011/4/1,310
2011/5/1,305
2011/6/1,301
2011/7/1,296
2011/8/1,299
2011/9/1,304
2011/10/1,316
2011/11/1,328
2011/12/1,341
2012/1/1,335
2012/2/1,366
2012/3/1,354
2012/4/1,354
2012/5/1,370
2012/6/1,360
2012/7/1,369
2012/8/1,375
2012/9/1,385
2012/10/1,358
2012/11/1,392
2012/12/1,399
2013/1/1,446
2013/2/1,447
2013/3/1,444
2013/4/1,441
2013/5/1,428
2013/6/1,470
2013/7/1,375
2013/8/1,381
2013/9/1,403
2013/10/1,444
2013/11/1,446
2013/12/1,433
2014/1/1,445
2014/2/1,429
2014/3/1,409
2014/4/1,400
2014/5/1,452
2014/6/1,416
2014/7/1,402
2014/8/1,455
2014/9/1,466
2014/10/1,472
2014/11/1,444
2014/12/1,488
2015/1/1,522
2015/2/1,556
2015/3/1,485
2015/4/1,503
2015/5/1,504
2015/6/1,474
2015/7/1,498
2015/8/1,515
2015/9/1,456
2015/10/1,476
2015/11/1,504
2015/12/1,534
2016/1/1,519
2016/2/1,527
2016/3/1,538
2016/4/1,566
2016/5/1,558
2016/6/1,560
2016/7/1,632
2016/8/1,572
2016/9/1,566
2016/10/1,573
2016/11/1,568
2016/12/1,546
2017/1/1,596
2017/2/1,618
2017/3/1,643
2017/4/1,593
2017/5/1,604
2017/6/1,616
2017/7/1,556
2017/8/1,558
2017/9/1,637
2017/10/1,618
2017/11/1,712
2017/12/1,636
2018/1/1,633
2018/2/1,663
2018/3/1,672
2018/4/1,633
2018/5/1,653
2018/6/1,612
2018/7/1,606
2018/8/1,601
2018/9/1,609
2018/10/1,552
2018/11/1,628
2018/12/1,652
2019/1/1,607
